season,week,ATS bets,ATS wins,ATS win %,totals bets,totals wins,totals win %,combined bets,combined wins,combined win %
2020,14,9,4,44.4,16,10,62.5,25,14,56.0
2020,15,7,3,42.9,16,13,81.2,23,16,69.6
2020,16,7,4,57.1,16,15,93.8,23,19,82.6
2020,17,4,4,100.0,16,12,75.0,20,16,80.0
2020,18,0,0,0.0,6,5,83.3,6,5,83.3
2020,19,2,1,50.0,4,3,75.0,6,4,66.7
2020,20,1,0,0.0,2,1,50.0,3,1,33.3
2020,21,1,1,100.0,1,1,100.0,2,2,100.0
2021,1,9,6,66.7,16,13,81.2,25,19,76.0
2021,2,7,3,42.9,16,13,81.2,23,16,69.6
2021,3,6,0,0.0,16,13,81.2,22,13,59.1
2021,4,5,3,60.0,16,13,81.2,21,16,76.2
2021,5,6,4,66.7,16,11,68.8,22,15,68.2
2021,6,4,1,25.0,14,11,78.6,18,12,66.7
2021,7,8,4,50.0,13,12,92.3,21,16,76.2
2021,8,9,9,100.0,15,10,66.7,24,19,79.2
2021,9,6,6,100.0,14,11,78.6,20,17,85.0
2021,10,2,2,100.0,14,11,78.6,16,13,81.2
2021,11,5,3,60.0,15,14,93.3,20,17,85.0
2021,12,4,1,25.0,15,14,93.3,19,15,78.9
2021,13,5,2,40.0,14,11,78.6,19,13,68.4
2021,14,5,2,40.0,14,11,78.6,19,13,68.4
2021,15,10,5,50.0,16,12,75.0,26,17,65.4
2021,16,7,4,57.1,16,13,81.2,23,17,73.9
2021,17,3,1,33.3,16,13,81.2,19,14,73.7
2021,18,2,1,50.0,16,13,81.2,18,14,77.8
2021,19,3,0,0.0,6,4,66.7,9,4,44.4
2021,20,1,1,100.0,4,4,100.0,5,5,100.0
2021,21,0,0,0.0,2,2,100.0,2,2,100.0
2021,22,1,1,100.0,1,1,100.0,2,2,100.0
2022,1,7,3,42.9,16,10,62.5,23,13,56.5
2022,2,8,4,50.0,16,14,87.5,24,18,75.0
2022,3,7,3,42.9,16,10,62.5,23,13,56.5
2022,4,6,3,50.0,16,8,50.0,22,11,50.0
2022,5,5,4,80.0,16,13,81.2,21,17,81.0
2022,6,10,4,40.0,14,9,64.3,24,13,54.2
2022,7,3,3,100.0,14,10,71.4,17,13,76.5
2022,8,7,3,42.9,15,8,53.3,22,11,50.0
2022,9,5,5,100.0,13,11,84.6,18,16,88.9
2022,10,5,4,80.0,14,11,78.6,19,15,78.9
2022,11,5,2,40.0,14,9,64.3,19,11,57.9
2022,12,4,0,0.0,16,11,68.8,20,11,55.0
2022,13,3,2,66.7,15,9,60.0,18,11,61.1
2022,14,6,4,66.7,13,8,61.5,19,12,63.2
2022,15,9,2,22.2,16,11,68.8,25,13,52.0
2022,16,5,3,60.0,16,12,75.0,21,15,71.4
2022,17,2,1,50.0,15,11,73.3,17,12,70.6
2022,18,2,2,100.0,16,9,56.2,18,11,61.1
2022,19,2,2,100.0,6,6,100.0,8,8,100.0
2022,20,1,1,100.0,4,3,75.0,5,4,80.0
2022,21,1,0,0.0,2,0,0.0,3,0,0.0
2022,22,0,0,0.0,1,1,100.0,1,1,100.0
2023,1,5,1,20.0,16,13,81.2,21,14,66.7
2023,2,8,5,62.5,16,11,68.8,24,16,66.7
2023,3,2,1,50.0,16,7,43.8,18,8,44.4
2023,4,9,3,33.3,16,13,81.2,25,16,64.0
2023,5,6,4,66.7,14,11,78.6,20,15,75.0
2023,6,4,2,50.0,15,10,66.7,19,12,63.2
