season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2022,17,NYJ,SEA,6,23,-1.0,SEA -0.0,SEA +1.0,2.09%,43.0,29.46,Under,win,win
2022,17,PIT,BAL,16,13,1.0,BAL -2.5,BAL -1.0,-23.81%,35.5,28.2,Under,loss,win
2022,17,SF,LV,37,34,-10.0,SF -8.5,LV +10.0,-52.61%,41.5,56.94,Over,win,win
2022,18,ARI,SF,13,38,14.0,SF -13.5,ARI +14.0,-29.11%,40.0,55.31,Over,loss,win
2022,18,BAL,CIN,16,27,11.0,CIN -8.5,BAL +11.0,-47.58%,39.0,42.67,Over,push,win
2022,18,CAR,NO,10,7,3.5,NO -3.5,NO -3.5,-4.18%,41.5,39.3,Under,loss,win
2022,18,CLE,PIT,14,28,2.5,PIT -2.5,CLE +2.5,-3.49%,40.0,35.14,Under,loss,loss
2022,18,DAL,WAS,6,26,-7.5,DAL -7.5,DAL -7.5,-3.42%,40.5,41.97,Over,loss,loss
2022,18,DET,GB,20,16,5.5,GB -5.5,GB -5.5,-3.84%,49.0,53.15,Over,loss,loss
2022,18,HOU,IND,32,31,3.0,IND -3.5,IND -3.0,-60.20%,38.0,36.3,Under,loss,loss
2022,18,KC,LV,31,13,-9.0,KC -7.5,LV +9.0,-51.83%,51.5,46.1,Under,loss,win
2022,18,LAC,DEN,28,31,6.0,DEN -2.5,LAC +6.0,15.20%,38.5,51.82,Over,win,win
2022,18,LA,SEA,16,19,5.5,SEA -3.5,LA +5.5,7.70%,41.5,42.67,Over,win,loss
2022,18,MIN,CHI,29,13,-6.5,MIN -6.0,CHI +6.5,-30.27%,42.5,39.3,Under,loss,win
2022,18,NE,BUF,23,35,8.0,BUF -8.0,NE +8.0,-3.44%,44.0,56.94,Over,loss,win
2022,18,NYG,PHI,16,22,16.5,PHI -13.5,NYG +16.5,-44.00%,42.5,45.46,Over,win,loss
2022,18,NYJ,MIA,6,11,3.5,MIA -4.5,MIA -3.5,-55.22%,37.5,33.21,Under,win,win
2022,18,TB,ATL,17,30,6.0,ATL -3.5,TB +6.0,-17.70%,40.5,42.67,Over,loss,win
2022,18,TEN,JAX,16,20,6.0,JAX -6.0,TEN +6.0,-32.22%,39.5,39.82,Over,win,loss
2022,19,BAL,CIN,17,24,7.5,CIN -6.5,BAL +7.5,1.45%,40.0,40.65,Over,win,win
2022,19,DAL,TB,31,14,-2.5,DAL -3.0,DAL -2.5,-0.88%,45.5,41.97,Under,win,win
2022,19,LAC,JAX,30,31,-2.0,LAC -0.5,JAX +2.0,2.99%,46.5,59.35,Over,win,win
2022,19,MIA,BUF,31,34,14.0,BUF -12.5,MIA +14.0,-24.02%,44.0,56.61,Over,win,win
2022,19,NYG,MIN,31,24,2.5,MIN -3.0,MIN -2.5,-2.57%,48.0,51.91,Over,loss,win
2022,19,SEA,SF,23,41,10.0,SF -10.5,SF -10.0,-1.97%,42.0,56.53,Over,win,win
2022,20,CIN,BUF,27,10,6.0,BUF -5.5,CIN +6.0,-1.52%,48.5,51.9,Over,win,loss
2022,20,DAL,SF,12,19,3.5,SF -3.5,SF -3.5,-3.51%,46.5,45.13,Under,win,win
2022,20,JAX,KC,20,27,10.0,KC -8.5,JAX +10.0,2.78%,52.5,51.82,Under,win,win
2022,20,NYG,PHI,7,38,8.0,PHI -8.0,NYG +8.0,-3.86%,48.0,38.87,Under,loss,win
2022,21,CIN,KC,20,23,2.0,KC -2.5,KC -2.0,-2.41%,48.5,48.91,Over,win,loss
2022,21,SF,PHI,7,31,2.5,PHI -1.0,SF +2.5,2.93%,45.0,52.1,Over,loss,loss
2022,22,KC,PHI,38,35,1.0,PHI -0.5,KC +1.0,-2.95%,51.0,69.19,Over,win,win
2023,1,ARI,WAS,16,20,7.0,WAS -6.0,ARI +7.0,1.79%,38.0,39.32,Over,win,loss
2023,1,BUF,NYJ,16,22,-2.5,BUF -2.0,NYJ +2.5,-2.59%,44.5,32.82,Under,win,win
2023,1,CAR,ATL,10,24,3.5,ATL -3.5,CAR +3.5,-4.42%,40.5,41.17,Over,loss,loss
2023,1,CIN,CLE,3,24,-1.0,CIN -2.0,CIN -1.0,0.39%,46.5,37.45,Under,loss,win
2023,1,DAL,NYG,40,0,-3.5,DAL -3.5,NYG +3.5,-3.93%,44.5,39.82,Under,loss,win
2023,1,DET,KC,21,20,4.0,KC -5.0,KC -4.0,0.86%,53.0,50.98,Under,loss,win
2023,1,GB,CHI,38,20,1.0,CHI -1.0,CHI -1.0,-4.22%,41.0,44.67,Over,loss,win
2023,1,HOU,BAL,9,25,9.5,BAL -9.5,HOU +9.5,-3.23%,43.5,35.4,Under,loss,win
2023,1,JAX,IND,31,21,-4.0,JAX -3.0,IND +4.0,1.10%,45.5,48.72,Over,loss,win
2023,1,LA,SEA,30,13,4.5,SEA -4.0,LA +4.5,-0.68%,45.0,36.31,Under,win,win
2023,1,LV,DEN,17,16,3.0,DEN -3.5,DEN -3.0,-0.70%,43.0,46.1,Over,loss,loss
2023,1,MIA,LAC,36,34,3.0,LAC -3.0,MIA +3.0,-3.68%,50.5,59.47,Over,win,win
2023,1,PHI,NE,25,20,-3.5,PHI -3.0,NE +3.5,-2.60%,44.5,51.82,Over,loss,win
2023,1,SF,PIT,30,7,-1.5,SF -1.0,PIT +1.5,-1.48%,41.5,35.38,Under,loss,win
2023,1,TB,MIN,20,17,4.0,MIN -4.5,MIN -4.0,-2.27%,45.0,43.69,Under,loss,win
2023,1,TEN,NO,15,16,3.0,NO -4.0,NO -3.0,0.75%,41.0,35.89,Under,loss,win
2023,2,BAL,CIN,27,24,3.5,CIN -2.5,BAL +3.5,2.16%,45.5,38.48,Under,win,loss
2023,2,CHI,TB,17,27,2.5,TB -2.0,CHI +2.5,-2.67%,41.0,39.3,Under,loss,loss
2023,2,CLE,PIT,22,26,-2.5,CLE -1.0,PIT +2.5,3.03%,39.0,42.67,Over,win,win
2023,2,GB,ATL,24,25,3.0,ATL -3.0,ATL -3.0,-3.90%,40.5,51.82,Over,loss,win
2023,2,IND,HOU,31,20,-1.0,IND -0.0,HOU +1.0,1.15%,40.0,48.61,Over,loss,win
2023,2,KC,JAX,17,9,-3.5,KC -3.5,JAX +3.5,-3.17%,50.5,45.05,Under,loss,win
2023,2,LAC,TEN,24,27,-2.5,LAC -2.5,TEN +2.5,-3.70%,45.5,48.91,Over,win,win
2023,2,LV,BUF,10,38,7.5,BUF -7.5,BUF -7.5,-3.92%,47.0,40.65,Under,win,loss
2023,2,MIA,NE,24,17,-2.0,MIA -1.0,NE +2.0,2.67%,46.5,51.06,Over,loss,loss
2023,2,MIN,PHI,28,34,6.0,PHI -6.5,PHI -6.0,-1.78%,49.0,59.02,Over,push,win
2023,2,NO,CAR,20,17,-3.0,NO -2.5,CAR +3.0,-1.63%,39.5,30.29,Under,push,win
2023,2,NYG,ARI,31,28,-5.0,NYG -3.0,ARI +5.0,6.57%,40.0,33.26,Under,win,loss
